category,count,percentage
neutral_discussion,60790,43.73727417277627
advice_guidance,24277,17.466849894595978
humor_meme_coping,23999,17.266834066005224
information_resources,7592,5.462302772161825
toxic_abusive,7271,5.23134924346531
encouragement_motivation,4695,3.377965162710718
personal_experience,2889,2.07858175826864
support_empathy,2375,1.7087683197950916
self_disclosure,1751,1.259811927562613
dismissive_minimizing,1584,1.1396585341286
crisis_escalation,1286,0.9252530775816791
blame_criticism,480,0.34535107094806067
