topic_a,topic_b,centroid_cosine,theme_a,theme_b
16,39,0.9548,Entrance Exam Preparation,Entrance Exam Preparation
12,39,0.9541,Entrance Exam Preparation,Entrance Exam Preparation
21,31,0.9536,College & Academic Decisions,Entrance Exam Preparation
2,8,0.9533,General Venting,Coaching & Study Resources
26,39,0.9515,Mental Health & Wellbeing,Entrance Exam Preparation
26,34,0.9505,Mental Health & Wellbeing,Mental Health & Wellbeing
12,32,0.9499,Entrance Exam Preparation,Entrance Exam Preparation
12,35,0.9478,Entrance Exam Preparation,Entrance Exam Preparation
9,10,0.9446,Entrance Exam Preparation,Higher Studies & Global Mobility
26,37,0.9427,Mental Health & Wellbeing,College & Academic Decisions
10,31,0.9426,Higher Studies & Global Mobility,Entrance Exam Preparation
4,23,0.9421,"Careers, Placements & Jobs","Careers, Placements & Jobs"
3,10,0.9411,Entrance Exam Preparation,Higher Studies & Global Mobility
7,37,0.9404,"Careers, Placements & Jobs",College & Academic Decisions
37,39,0.936,College & Academic Decisions,Entrance Exam Preparation
3,31,0.9352,Entrance Exam Preparation,Entrance Exam Preparation
34,39,0.9348,Mental Health & Wellbeing,Entrance Exam Preparation
34,37,0.934,Mental Health & Wellbeing,College & Academic Decisions
36,37,0.9338,College & Academic Decisions,College & Academic Decisions
16,32,0.9332,Entrance Exam Preparation,Entrance Exam Preparation
