topic_id,c_v,theme
2,0.8599,General Venting
9,0.8459,Entrance Exam Preparation
0,0.8104,"Careers, Placements & Jobs"
23,0.8087,"Careers, Placements & Jobs"
25,0.7781,Coaching & Study Resources
15,0.7774,Coaching & Study Resources
8,0.7703,Coaching & Study Resources
19,0.7692,"Careers, Placements & Jobs"
5,0.7564,College & Academic Decisions
4,0.7562,"Careers, Placements & Jobs"
35,0.7544,Entrance Exam Preparation
27,0.753,Entrance Exam Preparation
7,0.7487,"Careers, Placements & Jobs"
13,0.7395,Higher Studies & Global Mobility
28,0.7388,College & Academic Decisions
38,0.7209,Entrance Exam Preparation
16,0.7111,Entrance Exam Preparation
18,0.7107,Entrance Exam Preparation
29,0.7044,College & Academic Decisions
20,0.6933,"Careers, Placements & Jobs"
12,0.6781,Entrance Exam Preparation
32,0.6698,Entrance Exam Preparation
31,0.6612,Entrance Exam Preparation
10,0.6409,Higher Studies & Global Mobility
21,0.6403,College & Academic Decisions
1,0.634,Higher Studies & Global Mobility
36,0.6236,College & Academic Decisions
3,0.6201,Entrance Exam Preparation
37,0.6115,College & Academic Decisions
34,0.5573,Mental Health & Wellbeing
33,0.5526,Coaching & Study Resources
26,0.5524,Mental Health & Wellbeing
17,0.5422,Coaching & Study Resources
22,0.5268,Coping & Meme Culture
39,0.5055,Entrance Exam Preparation
24,0.5023,Coping & Meme Culture
14,0.4972,Coping & Meme Culture
30,0.4724,Coping & Meme Culture
40,0.4054,Coaching & Study Resources
11,0.32,Coping & Meme Culture
6,0.3011,Mental Health & Wellbeing
