topic_id,size,keywords,scores
0,3398,"dsa, leetcode, coding, learn, learning, code, web, python, projects, development","0.0379, 0.0298, 0.0257, 0.0206, 0.0203, 0.018, 0.0177, 0.0177, 0.0175, 0.0173"
1,2119,"gate, mtech, exam, gate exam, job, cse, college, da, prepare, iit","0.1074, 0.0255, 0.0213, 0.021, 0.0192, 0.0189, 0.0176, 0.0175, 0.0175, 0.0169"
2,4770,"din, baad, saal, mei, baat, agar, bc, itna, hain, ghar","0.0189, 0.016, 0.0151, 0.0151, 0.0147, 0.0143, 0.0139, 0.0139, 0.0139, 0.0135"
3,2758,"upsc, prelims, attempt, exam, preparation, job, mains, preparing, clear, don","0.0422, 0.0278, 0.0166, 0.0161, 0.0159, 0.014, 0.0136, 0.0122, 0.0117, 0.0112"
4,2763,"lpa, company, role, offer, work, job, companies, switch, salary, experience","0.0378, 0.0344, 0.0275, 0.0245, 0.0205, 0.0204, 0.0203, 0.0202, 0.0191, 0.0189"
5,2485,"branch, cse, college, nit, ece, core, branches, colleges, rank, placements","0.0549, 0.0532, 0.0365, 0.0294, 0.0277, 0.0273, 0.0268, 0.0264, 0.0212, 0.0194"
6,1510,"bsdk, padhle, padhle bsdk, stress, suicidal, depressed, depression, anxiety, shear, stresses","0.4192, 0.0886, 0.0881, 0.0716, 0.053, 0.0437, 0.0354, 0.0322, 0.0268, 0.0233"
7,2250,"internship, resume, job, experience, summer, internships, work, skills, engineering, gpa","0.0394, 0.0264, 0.0234, 0.0211, 0.0209, 0.0207, 0.0191, 0.0189, 0.0185, 0.0171"
8,2432,"sir, maths, hain, physics, lectures, backlog, chem, chemistry, aata, karna","0.0553, 0.0321, 0.0282, 0.0268, 0.0228, 0.0221, 0.0202, 0.0192, 0.0187, 0.0186"
9,1815,"cat, varc, mocks, dilr, quants, mock, questions, qa, score, xat","0.0624, 0.0386, 0.0342, 0.033, 0.0235, 0.023, 0.0208, 0.0203, 0.0197, 0.0192"
10,3366,"cat, mba, iim, profile, job, work, gap, percentile, college, calls","0.0532, 0.0328, 0.0241, 0.0212, 0.0187, 0.0161, 0.0142, 0.013, 0.0129, 0.0129"
11,1133,"wasted, poll, view poll, view, barbaad, jee, canon, syllabus, canon event, event","0.1244, 0.0625, 0.0577, 0.0529, 0.0508, 0.0311, 0.0165, 0.0145, 0.0142, 0.0135"
12,2704,"boards, marks, board, paper, maths, exam, english, hindi, pre, cbse","0.0415, 0.039, 0.0261, 0.0244, 0.0213, 0.0199, 0.0183, 0.0181, 0.0169, 0.0167"
13,1960,"india, abroad, masters, university, germany, myqualifications, visa, job, uk, degree","0.0328, 0.0251, 0.0225, 0.0209, 0.0198, 0.0186, 0.0177, 0.0167, 0.0144, 0.014"
14,959,"hopium, copium, prodijee, percentile, marks, dedo, shift, lelo, ile, hopium dedo","0.3127, 0.1784, 0.1207, 0.0499, 0.0419, 0.0365, 0.0296, 0.0269, 0.0266, 0.0264"
15,1420,"modules, books, book, cengage, hcv, allen, jee, pdf, physics, pyqs","0.1007, 0.078, 0.0509, 0.0441, 0.0402, 0.0385, 0.035, 0.0346, 0.0282, 0.0278"
16,2322,"drop, jee, college, percentile, mains, jee mains, partial, attempt, ile, dropper","0.0636, 0.0379, 0.0267, 0.0214, 0.0208, 0.0172, 0.0166, 0.0164, 0.0147, 0.0139"
17,1370,"results, cbse, result, release, date, tomorrow, today, digilocker, anxiety, news","0.1055, 0.0915, 0.0683, 0.0222, 0.0182, 0.0182, 0.018, 0.0176, 0.0175, 0.0155"
18,1306,"advanced, jee advanced, jee, adv, jee adv, mains, advance, jee advance, fucked, jee mains","0.1481, 0.1216, 0.1031, 0.0307, 0.0302, 0.0279, 0.0233, 0.0231, 0.0226, 0.0189"
19,649,"p1, p2, interview, told, answered, m1, answer, m2, questions, sir","0.0523, 0.0466, 0.0448, 0.0322, 0.0288, 0.028, 0.0236, 0.0211, 0.02, 0.019"
20,748,"tcs, nqt, tcs nqt, ninja, digital, joining, offer, prime, tcs ninja, tcs digital","0.2821, 0.093, 0.0757, 0.053, 0.0452, 0.0367, 0.0336, 0.0333, 0.0333, 0.03"
21,1350,"commerce, science, stream, pcm, maths, humanities, school, don, subjects, choose","0.056, 0.0522, 0.0452, 0.0366, 0.032, 0.0176, 0.0172, 0.0159, 0.0156, 0.0154"
22,544,"daddy, alecc, alecc daddy, anup, anup daddy, sir, nishant, alakh, pw, sub","0.516, 0.4921, 0.4726, 0.048, 0.0333, 0.0235, 0.0212, 0.0208, 0.0168, 0.0157"
23,1469,"company, interview, hr, ghosted, round, offer, job, manager, companies, interviews","0.0461, 0.0335, 0.0309, 0.0267, 0.0257, 0.0251, 0.0208, 0.0201, 0.0186, 0.0174"
24,836,"cooked, marks, chat, shift, maths, boards, jee, physics, exam, percentile","0.3627, 0.0226, 0.0214, 0.0175, 0.0171, 0.0166, 0.0164, 0.0153, 0.0137, 0.0133"
25,1222,"coaching, online, offline, batch, allen, pw, offline coaching, jee, teachers, online coaching","0.069, 0.0549, 0.0494, 0.0439, 0.0402, 0.0363, 0.0244, 0.0244, 0.0208, 0.0198"
26,1781,"friends, life, college, don, talk, friend, group, lonely, social, study","0.0341, 0.0265, 0.0234, 0.0212, 0.0191, 0.016, 0.0147, 0.0144, 0.0132, 0.0119"
27,767,"partial, partial drop, drop, dropper, double, double dropper, droppers, double droppers, jee, double drop","0.166, 0.1444, 0.1249, 0.1104, 0.1034, 0.0799, 0.0413, 0.0286, 0.0284, 0.0212"
28,1288,"engineering, computer, electrical, major, ee, mechanical, degree, coding, cs, software","0.0641, 0.0377, 0.0297, 0.0268, 0.026, 0.0255, 0.0241, 0.0208, 0.0207, 0.0202"
29,962,"ece, cse, vs, btech, btech cse, core, cs, eee, ai, specialization","0.2082, 0.1018, 0.0538, 0.0274, 0.0213, 0.0196, 0.0194, 0.018, 0.0174, 0.0164"
30,608,"chud, guru, lag, rassi, barbaad, bc, dimag kharab, kharab, dimag, laude lag","0.2463, 0.1974, 0.0876, 0.0559, 0.0423, 0.0366, 0.0355, 0.0316, 0.0315, 0.0282"
31,1026,"neet, bsc, pcb, mbbs, career, myquals, don, doctor, parents, college","0.0674, 0.0273, 0.0259, 0.0219, 0.0201, 0.0187, 0.0176, 0.0175, 0.0159, 0.0147"
32,856,"improvement, compartment, improvement exam, exam, cbse, nios, pcm, board, marks, subjects","0.0937, 0.0702, 0.0484, 0.0469, 0.0368, 0.0327, 0.0321, 0.0309, 0.0307, 0.0296"
33,995,"exam, card, admit card, admit, centre, form, center, invigilator, certificate, paper","0.0462, 0.0347, 0.0277, 0.0267, 0.0236, 0.0215, 0.0183, 0.0135, 0.0131, 0.0128"
34,1533,"sleep, study, hours, anxiety, stress, don, exam, studying, feeling, brain","0.0413, 0.0314, 0.0267, 0.0264, 0.0184, 0.0173, 0.0163, 0.0162, 0.013, 0.0129"
35,1880,"physics, chemistry, maths, chapters, class, chem, pyqs, questions, syllabus, backlog","0.0509, 0.0473, 0.0335, 0.0319, 0.0194, 0.0192, 0.0172, 0.0166, 0.0163, 0.016"
36,1107,"cgpa, sem, semester, college, backlogs, placements, backlog, tier, placement, exams","0.105, 0.0891, 0.0311, 0.0255, 0.0194, 0.0192, 0.0158, 0.0156, 0.0143, 0.0141"
37,3184,"engineering, semester, classes, school, ve, don, degree, class, work, gpa","0.0334, 0.0244, 0.0204, 0.0197, 0.0177, 0.0173, 0.0149, 0.0141, 0.0128, 0.0119"
38,794,"bitsat, test series, series, test, mathongo, jee, tests, mains, mathongo test, allen","0.1305, 0.1281, 0.1247, 0.1151, 0.0707, 0.0263, 0.0252, 0.0247, 0.0219, 0.0185"
39,2908,"jee, school, parents, started, didn, class, coaching, life, don, study","0.0236, 0.0178, 0.0177, 0.0154, 0.0142, 0.014, 0.014, 0.0131, 0.0124, 0.0122"
40,498,"fiitjee, aits, teachers, centre, fiitjee aits, aakash, delhi, noida, test, closed","0.3317, 0.0421, 0.0363, 0.0349, 0.033, 0.0319, 0.0258, 0.0225, 0.0222, 0.0215"
