run_id,umap_n_neighbors,umap_min_dist,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples,status
1,10,0.0,5,30,5,PENDING
2,10,0.0,5,30,10,PENDING
3,10,0.0,5,30,15,PENDING
4,10,0.0,5,50,5,PENDING
5,10,0.0,5,50,10,PENDING
6,10,0.0,5,50,15,PENDING
7,10,0.0,5,100,5,PENDING
8,10,0.0,5,100,10,PENDING
9,10,0.0,5,100,15,PENDING
10,10,0.0,5,150,5,PENDING
11,10,0.0,5,150,10,PENDING
12,10,0.0,5,150,15,PENDING
13,10,0.0,10,30,5,PENDING
14,10,0.0,10,30,10,PENDING
15,10,0.0,10,30,15,PENDING
16,10,0.0,10,50,5,PENDING
17,10,0.0,10,50,10,PENDING
18,10,0.0,10,50,15,PENDING
19,10,0.0,10,100,5,PENDING
20,10,0.0,10,100,10,PENDING
21,10,0.0,10,100,15,PENDING
22,10,0.0,10,150,5,PENDING
23,10,0.0,10,150,10,PENDING
24,10,0.0,10,150,15,PENDING
25,10,0.1,5,30,5,PENDING
26,10,0.1,5,30,10,PENDING
27,10,0.1,5,30,15,PENDING
28,10,0.1,5,50,5,PENDING
29,10,0.1,5,50,10,PENDING
30,10,0.1,5,50,15,PENDING
31,10,0.1,5,100,5,PENDING
32,10,0.1,5,100,10,PENDING
33,10,0.1,5,100,15,PENDING
34,10,0.1,5,150,5,PENDING
35,10,0.1,5,150,10,PENDING
36,10,0.1,5,150,15,PENDING
37,10,0.1,10,30,5,PENDING
38,10,0.1,10,30,10,PENDING
39,10,0.1,10,30,15,PENDING
40,10,0.1,10,50,5,PENDING
41,10,0.1,10,50,10,PENDING
42,10,0.1,10,50,15,PENDING
43,10,0.1,10,100,5,PENDING
44,10,0.1,10,100,10,PENDING
45,10,0.1,10,100,15,PENDING
46,10,0.1,10,150,5,PENDING
47,10,0.1,10,150,10,PENDING
48,10,0.1,10,150,15,PENDING
49,10,0.3,5,30,5,PENDING
50,10,0.3,5,30,10,PENDING
51,10,0.3,5,30,15,PENDING
52,10,0.3,5,50,5,PENDING
53,10,0.3,5,50,10,PENDING
54,10,0.3,5,50,15,PENDING
55,10,0.3,5,100,5,PENDING
56,10,0.3,5,100,10,PENDING
57,10,0.3,5,100,15,PENDING
58,10,0.3,5,150,5,PENDING
59,10,0.3,5,150,10,PENDING
60,10,0.3,5,150,15,PENDING
61,10,0.3,10,30,5,PENDING
62,10,0.3,10,30,10,PENDING
63,10,0.3,10,30,15,PENDING
64,10,0.3,10,50,5,PENDING
65,10,0.3,10,50,10,PENDING
66,10,0.3,10,50,15,PENDING
67,10,0.3,10,100,5,PENDING
68,10,0.3,10,100,10,PENDING
69,10,0.3,10,100,15,PENDING
