token,frequency
and,283036
in,183416
my,165325
of,136164
for,127673
it,107360
me,93618
but,90761
that,83835
have,78128
this,77308
you,68012
with,60035
so,59402
was,56990
not,56489
on,56335
or,52327
am,51673
be,49723
as,45924
from,45224
what,44820
are,44279
if,43953
can,43181
all,38988
at,37260
will,35767
now,34704
don,33490
about,31510
how,31067
they,30731
any,28182
even,27747
some,25908
up,25613
an,25586
college,25086
no,24645
your,24028
out,23612
one,22592
after,22475
which,22154
there,22054
had,20801
jee,20769
because,20275
job,19488
only,18965
he,18400
exam,18186
more,17878
who,17820
ve,17650
been,17646
then,17069
by,16872
work,16860
life,16651
very,15640
school,15516
we,15481
much,15307
go,15034
has,15021
here,14828
when,14588
other,14526
take,14494
them,14403
engineering,14285
study,13546
first,13536
too,13376
into,13356
well,13346
give,13275
did,13167
class,12932
still,12671
12th,12578
going,12519
didn,12218
last,12009
parents,11773
doing,11692
their,11345
make,11254
these,11156
started,11040
than,11005
advice,10847
since,10838
ll,10678
myself,10385
marks,10380
questions,10324
start,10306
were,10233
maths,10229
guys,10022
11th,10016
exams,9663
cat,9642
better,9595
lot,9338
coaching,9318
where,9279
back,9223
physics,9168
something,9002
best,8994
experience,8828
most,8786
right,8777
able,8751
drop,8673
hard,8605
same,8591
again,8555
many,8545
she,8506
being,8470
anything,8431
boards,8426
anyone,8369
why,8332
before,8210
never,8194
next,8143
around,8124
everyone,8051
end,7968
mains,7884
over,7810
through,7809
few,7587
attempt,7574
career,7477
10,7471
due,7432
studying,7369
company,7361
everything,7344
friends,7293
done,7270
working,7260
way,7222
every,7175
currently,7114
while,7051
question,6860
cse,6837
tier,6807
always,6789
made,6741
10th,6642
wanted,6627
science,6584
its,6545
said,6511
try,6416
score,6393
family,6388
re,6388
her,6387
those,6376
course,6368
someone,6292
might,6270
thought,6249
degree,6247
his,6246
feeling,6246
say,6242
enough,6226
classes,6193
already,6176
etc,6176
our,6164
tell,6125
two,6122
test,6109
gave,6088
skills,6086
interview,6040
thinking,6017
went,5995
gate,5964
see,5956
semester,5954
during,5940
off,5937
failed,5887
sure,5825
prep,5802
told,5769
took,5761
paper,5743
focus,5719
left,5682
new,5642
let,5625
mba,5542
hours,5530
taking,5520
top,5472
online,5462
result,5457
preparing,5427
prepare,5391
percentile,5367
iit,5356
anxiety,5342
find,5309
long,5304
level,5268
coding,5136
money,5131
keep,5113
another,5105
gaya,5097
problem,5086
chemistry,5073
him,5070
preparation,5036
raha,5028
without,5015
nothing,5005
learn,4991
used,4968
fucked,4964
full,4945
future,4945
may,4910
12,4902
india,4898
both,4866
second,4860
point,4853
looking,4852
having,4795
learning,4775
couldn,4754
sir,4750
high,4720
tech,4697
university,4658
home,4657
clear,4640
come,4627
internship,4625
lost,4623
rha,4617
today,4617
syllabus,4596
hope,4555
situation,4542
down,4520
understand,4519
jobs,4514
companies,4486
upsc,4468
maybe,4464
won,4456
asked,4444
till,4414
2024,4412
shit,4407
trying,4404
decent,4402
giving,4401
use,4397
results,4391
colleges,4389
offer,4348
cs,4314
join,4312
idk,4293
scored,4281
bit,4259
board,4245
liye,4237
stress,4221
actually,4218
depressed,4215
sab,4194
studies,4188
complete,4177
does,4172
almost,4146
current,4146
part,4145
ask,4136
less,4130
week,4123
solve,4116
subjects,4086
studied,4076
pretty,4067
cbse,4062
else,4044
projects,4040
confused,4019
advanced,4008
such,4008
mind,3989
tried,3988
ece,3965
doesn,3958
pe,3951
making,3942
came,3922
rank,3919
batch,3917
dsa,3917
health,3910
stuff,3909
past,3903
read,3887
though,3881
abhi,3865
low,3863
subject,3850
decided,3846
based,3837
math,3836
pass,3831
great,3818
own,3816
different,3815
given,3809
haven,3805
data,3790
possible,3771
change,3764
whole,3758
project,3756
fail,3753
30,3746
final,3735
option,3732
idea,3729
literally,3728
mental,3708
na,3687
love,3682
20,3680
little,3675
worth,3669
2025,3658
answer,3654
branch,3646
2nd,3628
self,3572
share,3555
field,3553
however,3527
wrong,3518
gt,3517
maine,3495
