config_id,valid,reason,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,n_topics,outlier_rate,avg_topic_size,median_topic_size,smallest_topic,largest_topic,size_std,topics_lt_100,topics_lt_200,c_v,c_npmi,topic_diversity,topic_stability,intra_sim,inter_sim_emb,inter_sim_ctfidf,separation,redundant_pairs,elapsed_s,top_topics_preview
u_nn15_c5__h_mcs100_ms5_eom,True,,15,5,0.0,cosine,100,5,eom,88,0.4953,403.9,249,100,3619,504.2,0,34,0.6126,0.1274,0.6841,0.9641,0.7634,0.7219,0.1097,0.0415,42,59.1,"canon, canon event, event, interfere, jaega, stfu | padhle, padhle bsdk, bsdk, meme, chalta, mat | laptop, gaming, budget, buy, ssd, laptops | suicidal, suicidal thoughts, feeling suicidal, thoughts, feeling, depressed | cooked, chat cooked, chat, prodijee, shift, cook | daddy, alecc, alecc daddy, anup daddy, anup, wallah"
u_nn15_c5__h_mcs150_ms5_eom,True,,15,5,0.0,cosine,150,5,eom,70,0.5008,502.2,336,151,3795,552.0,0,13,0.6122,0.1294,0.7257,0.9734,0.7572,0.7317,0.1176,0.0255,30,16.0,"daddy, alecc, alecc daddy, anup, nishant, anup daddy | canon, canon event, event, jaega, interfere, stfu | padhle, padhle bsdk, bsdk, meme, chalta, mat | laptop, gaming, budget, buy, ssd, laptops | suicidal, suicidal thoughts, feeling suicidal, thoughts, feeling, depressed | cooked, chat, chat cooked, prodijee, shift, marks"
u_nn15_c5__h_mcs250_ms10_eom,True,,15,5,0.0,cosine,250,10,eom,47,0.4967,754.1,477,253,3703,715.9,0,0,0.6207,0.1318,0.734,0.9631,0.7512,0.7632,0.1547,-0.0119,20,9.4,"daddy, alecc, alecc daddy, anup, nishant, anup daddy | bsdk, pop, stress, suicidal, depressed, depression | cooked, chat, chat cooked, prodijee, shift, marks | wasted, barbaad, wasted wasted, poll, jee, view poll | chud, guru, chud guru, lag, rassi, barbaad | hopium, copium, prodijee, lelo, prodijee hopium, hopium copium"
u_nn15_c5__h_mcs400_ms10_eom,True,,15,5,0.0,cosine,400,10,eom,31,0.487,1165.5,869,411,3703,832.4,0,0,0.6252,0.1266,0.7968,0.0663,0.7385,0.7804,0.1738,-0.0419,17,8.6,"daddy, alecc, alecc daddy, anup, nishant, anup daddy | bsdk, pop, stress, suicidal, depressed, depression | cooked, chat, chat cooked, prodijee, jee, marks | wasted, barbaad, jee, wasted wasted, poll, view poll | chud, guru, chud guru, lag, rassi, barbaad | hopium, copium, prodijee, lelo, prodijee hopium, percentile"
u_nn15_c5__h_mcs150_ms10_leaf,True,,15,5,0.0,cosine,150,10,leaf,71,0.5892,407.5,338,153,1192,230.0,0,13,0.6127,0.131,0.7437,0.9491,0.761,0.7276,0.1152,0.0333,30,10.3,"daddy, alecc, alecc daddy, anup, nishant, anup daddy | canon, canon event, event, jaega, interfere, stfu | padhle, padhle bsdk, bsdk, meme, chalta, mat | laptop, gaming, budget, buy, ssd, ram | stress, stresses, shear, strain, calculate, beam | cooked, chat, chat cooked, prodijee, shift, marks"
u_nn15_c5__h_mcs300_ms10_leaf,True,,15,5,0.0,cosine,300,10,leaf,45,0.5848,649.8,533,301,1777,335.8,0,0,0.6328,0.1354,0.7578,0.9239,0.7506,0.7645,0.1652,-0.0139,20,9.0,"daddy, alecc, alecc daddy, anup, nishant, anup daddy | bsdk, pop, stress, suicidal, depressed, depression | cooked, chat, chat cooked, prodijee, shift, marks | wasted, barbaad, wasted wasted, poll, view poll, jee | chud, guru, chud guru, lag, rassi, barbaad | hopium, copium, prodijee, lelo, prodijee hopium, percentile"
u_nn30_c5__h_mcs100_ms5_eom,True,,30,5,0.0,cosine,100,5,eom,84,0.5351,389.8,246,101,3872,477.4,0,31,0.6277,0.1378,0.7202,0.9639,0.7657,0.7198,0.1088,0.0459,36,72.9,"laptop, gaming, budget, buy, ssd, ram | canon, canon event, event, interfere, jaega, stfu | cooked, chat cooked, chat, prodijee, shift, cook | daddy, alecc, alecc daddy, anup daddy, anup, wallah | daddy, alecc, alecc daddy, meme, alakh, anup | backlog, backlogs, cover backlog, cover, maths backlog, backlog cover"
u_nn30_c5__h_mcs150_ms5_eom,True,,30,5,0.0,cosine,150,5,eom,67,0.5386,485.0,317,152,4019,530.7,0,12,0.614,0.1252,0.7313,0.962,0.7611,0.7277,0.1242,0.0335,25,10.6,"laptop, gaming, budget, buy, ssd, laptops | canon, canon event, event, interfere, jaega, stfu | cooked, chat cooked, chat, prodijee, shift, cook | daddy, alecc, alecc daddy, anup, anup daddy, wallah | daddy, alecc, alecc daddy, meme, alakh, anup | bsdk, stress, suicidal, depressed, depression, anxiety"
u_nn30_c5__h_mcs250_ms10_eom,True,,30,5,0.0,cosine,250,10,eom,38,0.4912,942.9,555,250,7439,1281.6,0,0,0.6112,0.1305,0.7842,0.7799,0.7477,0.7514,0.142,-0.0037,10,8.7,"daddy, alecc, alecc daddy, anup, nishant, anup daddy | cooked, chat, chat cooked, prodijee, shift, cook | bsdk, stress, suicidal, depressed, depression, anxiety | fiitjee, teachers, centre, aakash, closed, delhi | hopium, copium, prodijee, prodijee hopium, lelo, hopium copium | barbaad, poll, view poll, view, jee, fellow"
u_nn30_c5__h_mcs400_ms10_eom,True,,30,5,0.0,cosine,400,10,eom,28,0.4902,1282.2,765,408,7439,1427.7,0,0,0.6037,0.1208,0.8107,0.8217,0.7379,0.769,0.1583,-0.0311,9,8.2,"daddy, alecc, alecc daddy, anup, nishant, anup daddy | cooked, chat, chat cooked, prodijee, shift, marks | bsdk, stress, suicidal, depressed, depression, anxiety | hopium, copium, prodijee, prodijee hopium, percentile, lelo | barbaad, poll, view poll, view, jee, fellow | nta, mkc, nta mkc, chud, guru, chud guru"
